id,prices.amountMax,prices.availability,prices.condition,prices.isSale,prices.merchant,brand,dateAdded,primaryCategories,weight,,,,,
AVpfVI9wilAPnD_xZxH-,89.95,In Stock,New,FALSE,bhphotovideo.com,WD,2015-08-16T21:01:50Z,Electronics,1.32 lb,,,,,
AVpi9AE_LJeJML43qkYJ,199,yes,New,FALSE,gabrians,Panamax,2015-03-18T10:54:48Z,Electronics,6.5 pounds,,,,,
AVpi9AE_LJeJML43qkYJ,159.98,Yes,New,FALSE,Bestbuy.com,Panamax,2015-03-18T10:54:48Z,Electronics,6.5 pounds,,,,,
AVpi9AE_LJeJML43qkYJ,199.98,TRUE,new,FALSE,Bestbuy.com,Panamax,2015-03-18T10:54:48Z,Electronics,6.5 pounds,,,,,
AVpi9AE_LJeJML43qkYJ,75,yes,Seller refurbished,FALSE,discountparts99,Panamax,2015-03-18T10:54:48Z,Electronics,6.5 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,51.99,In Stock,New,FALSE,Car Audio Closeout,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,99.99,In Stock,New,TRUE,Audiosavings,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,49.99,yes,New,FALSE,www-sonicelectronix-com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,66.99,Yes,New,TRUE,Bestbuy.com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,99.99,In Stock,New,TRUE,Audiosavings,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,79.99,Yes,New,FALSE,Bestbuy.com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,44.35,In Stock,New,FALSE,Hotelectronics,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,72.99,Yes,New,TRUE,Bestbuy.com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,65.99,Yes,New,TRUE,Bestbuy.com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,71.99,Yes,New,TRUE,Bestbuy.com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,89.99,Yes,New,FALSE,Bestbuy.com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,80.99,Yes,New,TRUE,Bestbuy.com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,64.99,Yes,New,TRUE,Bestbuy.com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,59.99,Yes,New,TRUE,Bestbuy.com,Alpine,2015-11-09T01:49:20Z,Electronics,5.2 pounds,,,,,
AVpiSS1A1cnluZ0-LyAY,249.99,undefined,new,FALSE,Bestbuy.com,Transcend,2014-09-29T10:29:09Z,Electronics,3 ounces,,,,,
AVpiSS1A1cnluZ0-LyAY,289.99,Yes,New,FALSE,Bestbuy.com,Transcend,2014-09-29T10:29:09Z,Electronics,3 ounces,,,,,
AVpiSS1A1cnluZ0-LyAY,270.99,Yes,New,TRUE,Bestbuy.com,Transcend,2014-09-29T10:29:09Z,Electronics,3 ounces,,,,,
AVpiSS1A1cnluZ0-LyAY,348.99,In Stock,New,FALSE,bhphotovideo.com,Transcend,2014-09-29T10:29:09Z,Electronics,3 ounces,,,,,
AVpiSS1A1cnluZ0-LyAY,349.99,In Stock,New,FALSE,bhphotovideo.com,Transcend,2014-09-29T10:29:09Z,Electronics,3 ounces,,,,,
AVpgnnzJilAPnD_xu_7Q,22.99,Yes,New,FALSE,Bestbuy.com,Samsung,2015-02-26T14:14:24Z,Electronics,5.6 ounces,,,,,
AVpgnnzJilAPnD_xu_7Q,14.84,yes,New,FALSE,accessorynet,Samsung,2015-02-26T14:14:24Z,Electronics,5.6 ounces,,,,,
AVpgnnzJilAPnD_xu_7Q,17.99,Yes,New,FALSE,Bestbuy.com,Samsung,2015-02-26T14:14:24Z,Electronics,5.6 ounces,,,,,
AVpfyGvu1cnluZ0-rMw9,49,In Stock,New,FALSE,bhphotovideo.com,MEE audio,2015-07-13T16:11:15Z,Electronics,3.88 oz,,,,,
AVpfyGvu1cnluZ0-rMw9,34.99,In Stock,New,TRUE,bhphotovideo.com,MEE audio,2015-07-13T16:11:15Z,Electronics,3.88 oz,,,,,
